Chart.js,31,576
Leaflet,49,2509
arbor,11,471
cesium,1516,26801
chartist-js,8,346
d3,1543,3260
dc.js,113,5887
echarts,544,6807
envisionjs,236,6510
kartograph.js,16,451
modestmaps-js,42,1448
peity,8,66
raw,5,503
recline,188,5300
sigma.js,70,804
vega,71,1544
Babylon.js,322,13358
Crafty,25,978
PhysicsJS,69,2497
cocos2d-html5,283,8469
cutjs,142,3079
engine,65,3255
kiwi.js,40,4294
lycheeJS,89,2466
melonJS,53,2925
phaser,984,33529
pixi.js,22,1514
angular.js,1276,11739
backbone,76,1864
brick,41,819
ember.js,214,3087
knockout,225,2527
polymer,212,885
spine,88,1778
2048,5,92
BrowserQuest,209,2442
adarkroom,11,551
clumsy-bird,24,872
hextris,2,122
untrusted,186,3493
