Chart.js,231,1500
Leaflet,952,8036
arbor,119,1444
cesium,19047,125801
chartist-js,80,1022
d3,5807,20289
dc.js,2822,20151
echarts,2170,28910
envisionjs,1342,28696
kartograph.js,158,1349
modestmaps-js,222,4117
peity,31,284
raw,198,2300
recline,1213,19853
sigma.js,268,4624
vega,410,3847
Babylon.js,2547,39529
Crafty,425,3908
PhysicsJS,827,9678
cocos2d-html5,418,22215
cutjs,688,9637
engine,1109,9759
kiwi.js,362,5883
lycheeJS,657,6970
melonJS,530,8112
phaser,2323,83298
pixi.js,340,4557
angular.js,9081,59039
backbone,1030,6251
brick,203,2134
ember.js,1553,9398
knockout,1678,11695
polymer,1251,2945
spine,964,6285
2048,15,187
BrowserQuest,865,7090
adarkroom,113,3808
clumsy-bird,108,2178
hextris,25,587
untrusted,3150,15518
