Chart.js,231,1500
Leaflet,952,8036
arbor,119,1444
cesium,19047,125801
chartist-js,80,1022
d3,5807,20289
dc.js,2822,20151
echarts,2170,28910
envisionjs,1342,28696
kartograph.js,158,1349
modestmaps-js,222,4117
peity,31,284
raw,198,2300
recline,1213,19853
sigma.js,268,4624
vega,410,3847
Babylon.js,2547,39529
Crafty,425,3908
PhysicsJS,827,9678
cocos2d-html5,418,22215
cutjs,688,9637
engine,1109,9759
kiwi.js,362,5883
lycheeJS,657,6970
melonJS,530,8112
phaser,2323,83298
pixi.js,340,4557
angular.js,9081,59039
backbone,1030,6251
brick,203,2134
ember.js,1553,9398
knockout,1678,11695
polymer,1251,2945
spine,964,6285
2048,15,187
BrowserQuest,865,7090
adarkroom,113,3808
clumsy-bird,108,2178
hextris,25,587
untrusted,3150,15518
KiwiIRC,480,5848
NodeBB,3202,16762
browsenpm.org,37,218
david-www,251,2346
iloveopensource,333,2659
keystone,2615,24661
live4chan,1351,4132
mash.li,146,1319
mediacenterjs,307,2145
newww,1168,8146
npm-www,671,4833
open-marriage,62,626
pencilblue,799,5069
shields,220,953
slate,22,242
strider,7918,50357
Inquirer.js,278,1707
UglifyJS2,740,3194
async,623,2210
aws-sdk-js,907,12613
backbone,1029,6248
bluebird,6846,27874
body-parser,278,1372
chalk,44,103
cheerio,883,6386
clean-css,395,1819
cli-color,26,305
coffeescript,519,4413
colors.js,88,263
commander.js,30,432
concat-stream,66,230
connect,138,423
debug,15,166
ejs,93,486
escodegen,1606,18224
express,2050,7102
generator,1103,3306
grunt,228,2038
gulp-util,115,493
gulp,137,435
hiredis-node,61,163
iconv-lite,365,1380
inherits,3,18
jade,585,4107
jquery,3914,18418
js-yaml,519,5730
jsdom,12876,42676
less.js,410,4831
lodash,9767,24544
log4js-node,744,2583
marked,7,346
minimatch,25,237
minimist,47,403
mocha,1142,3932
moment,365,55326
mustache.js,96,256
nconf,251,887
ncp,114,217
node-browserify,633,2536
node-extend,30,191
node-fs-extra,593,1340
node-glob,219,721
node-graceful-fs,47,171
node-http-proxy,373,1276
node-mime,12,106
node-mkdirp,82,415
node-mysql,1410,3646
node-oauth,271,638
node-open,15,32
node-optimist,91,558
node-semver,48,476
node-uuid,26,198
node-xml2js,5,108
node_redis,772,2403
nomnom,19,381
nopt,14,175
npm,2421,8673
promise,107,330
prompt,172,484
q,558,3115
qs,72,615
r.js,4461,21271
react,768,6674
readable-stream,912,2768
request,657,2566
rimraf,41,88
shelljs,850,2490
should.js,540,1750
socket.io-client,213,1663
socket.io,351,1482
stylus,224,2490
superagent,502,2318
through,80,188
through2,89,264
underscore.string,639,5653
validator.js,86,351
winston,447,1481
wrench-js,132,430
ws,1053,2686
xtend,23,37
yargs,217,1471
yosay,16,74
