"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs","calls","requires","defines","fsSyncs","fsAsyncs","setTimeouts","setIntervals","setImmediates","nextTicks","argscount","argsmax","paramscount","paramsmax"
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/Chart.js",3380,297,1,296,0,712,0,1,0,0,1,0,0,0,"154 274 172 89 11 7 5 0 0 0 0",6,"70 157 49 16 2 1 2 0 0 0 0",6
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/gulpfile.js",132,13,1,12,0,76,14,0,2,0,0,0,0,0,"2 51 20 3 0 0 0 0 0 0 0",3,"8 5 0 0 0 0 0 0 0 0 0",1
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/src/Chart.Bar.js",294,30,0,30,0,69,0,0,0,0,0,0,0,0,"15 30 10 12 1 1 0 0 0 0 0",5,"6 15 7 2 0 0 0 0 0 0 0",3
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/src/Chart.Core.js",1944,164,1,163,0,393,0,1,0,0,1,0,0,0,"75 157 113 32 9 3 4 0 0 0 0",6,"48 75 26 10 2 1 2 0 0 0 0",6
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/src/Chart.Doughnut.js",184,20,0,20,0,44,0,0,0,0,0,0,0,0,"9 18 9 8 0 0 0 0 0 0 0",3,"3 14 2 1 0 0 0 0 0 0 0",3
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/src/Chart.Line.js",366,35,0,35,0,80,0,0,0,0,0,0,0,0,"17 25 17 18 1 1 1 0 0 0 0",6,"5 21 7 2 0 0 0 0 0 0 0",3
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/src/Chart.PolarArea.js",248,20,0,20,0,52,0,0,0,0,0,0,0,0,"14 19 9 9 0 1 0 0 0 0 0",5,"3 14 2 1 0 0 0 0 0 0 0",3
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/src/Chart.Radar.js",343,28,0,28,0,74,0,0,0,0,0,0,0,0,"24 25 14 10 0 1 0 0 0 0 0",5,"5 18 5 0 0 0 0 0 0 0 0",2
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/Jakefile.js",59,9,1,8,0,25,2,0,0,0,0,0,0,0,"3 9 6 5 2 0 0 0 0 0 0",4,"6 1 2 0 0 0 0 0 0 0 0",2
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/build/build.js",190,13,8,5,0,63,5,0,5,0,0,0,0,0,"5 41 16 1 0 0 0 0 0 0 0",3,"1 7 3 1 1 0 0 0 0 0 0",4
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/build/deps.js",256,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/build/hintrc.js",41,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/debug/leaflet-include.js",60,6,5,1,0,15,0,0,0,0,0,0,0,0,"8 7 0 0 0 0 0 0 0 0 0",1,"3 3 0 0 0 0 0 0 0 0 0",1
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/debug/vector/geojson-sample.js",54,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/spec/after.js",3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
