"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs","calls","requires","defines","fsSyncs","fsAsyncs","setTimeouts","setIntervals","setImmediates","nextTicks","argscount","argsmax","paramscount","paramsmax"
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/Gruntfile.js",342,4,0,4,0,57,6,0,0,0,0,0,0,0,"7 20 20 10 0 0 0 0 0 0 0",3,"0 1 2 1 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/angularFiles.js",237,3,0,3,0,7,0,0,0,0,0,0,0,0,"0 5 1 0 0 0 0 0 0 1 0",9,"1 2 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/event-delegation-bp/app.js",58,12,0,12,0,12,0,0,0,0,0,0,0,0,"1 5 5 1 0 0 0 0 0 0 0",3,"5 2 5 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/event-delegation-bp/bp.conf.js",11,1,0,1,0,1,0,0,0,0,0,0,0,0,"0 1 0 0 0 0 0 0 0 0 0",1,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/largetable-bp/app.js",183,16,2,14,0,43,0,0,0,0,0,0,0,0,"1 35 7 0 0 0 0 0 0 0 0",2,"11 2 3 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/largetable-bp/bp.conf.js",16,1,0,1,0,1,0,0,0,0,0,0,0,0,"0 1 0 0 0 0 0 0 0 0 0",1,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/largetable-bp/jquery-noop.js",2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/orderby-bp/app.js",49,7,1,6,0,10,0,0,0,0,0,0,0,0,"2 5 3 0 0 0 0 0 0 0 0",2,"3 2 2 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/orderby-bp/bp.conf.js",15,1,0,1,0,1,0,0,0,0,0,0,0,0,"0 1 0 0 0 0 0 0 0 0 0",1,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/parsed-expressions-bp/app.js",88,15,1,14,0,35,0,0,0,0,0,0,0,0,"19 9 7 0 0 0 0 0 0 0 0",2,"6 4 3 2 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/parsed-expressions-bp/bp.conf.js",12,1,0,1,0,1,0,0,0,0,0,0,0,0,"0 1 0 0 0 0 0 0 0 0 0",1,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/changelog.js",210,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/changelog.spec.js",48,5,0,5,0,23,1,0,0,0,0,0,0,0,"0 18 5 0 0 0 0 0 0 0 0",2,"5 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/compare-master-to-stable.js",169,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/assets/js/angular-bootstrap/bootstrap.js",443,55,2,53,2,127,0,0,0,0,0,0,0,0,"38 55 31 2 1 0 0 0 0 0 0",4,"19 19 7 8 2 0 0 0 0 0 0",4
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/assets/js/angular-bootstrap/dropdown-toggle.js",145,19,0,19,0,31,0,0,0,0,0,0,0,0,"4 11 16 0 0 0 0 0 0 0 0",2,"7 9 0 0 2 1 0 0 0 0 0",5
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/assets/js/search-worker.js",44,5,0,5,0,16,0,0,0,0,0,0,0,0,"1 11 4 0 0 0 0 0 0 0 0",2,"2 3 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/e2e/api-docs/api-pages.scenario.js",51,7,0,7,0,50,0,0,0,0,0,0,0,0,"8 36 6 0 0 0 0 0 0 0 0",2,"6 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/e2e/api-docs/provider-pages.scenario.js",12,2,0,2,0,12,0,0,0,0,0,0,0,0,"2 8 2 0 0 0 0 0 0 0 0",2,"2 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/e2e/api-docs/service-pages.scenario.js",22,3,0,3,0,30,0,0,0,0,0,0,0,0,"6 21 3 0 0 0 0 0 0 0 0",2,"3 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/e2e/app.scenario.js",86,12,0,12,0,63,2,0,0,0,0,0,0,0,"11 44 8 0 0 0 0 0 0 0 0",2,"10 2 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/src/app.js",23,1,0,1,0,4,0,0,0,0,0,0,0,0,"0 3 1 0 0 0 0 0 0 0 0",2,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/src/directives.js",38,7,0,7,1,12,0,0,0,0,0,0,0,0,"1 5 5 1 0 0 0 0 0 0 0",3,"1 3 3 0 0 0 0 0 0 0 0",2
