"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs","anonCBs","minComplexity","maxComplexity","meanComplexity","calls","requires","defines","fsSyncs","fsAsyncs","setTimeouts","setIntervals","setImmediates","nextTicks","argscount","argsmax","paramscount","paramsmax"
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/Gruntfile.js",31,1,0,1,0,0,1,1,1,5,0,0,0,0,0,0,0,0,"0 4 1 0 0 0 0 0 0 0 0",2,"0 1 0 0 0 0 0 0 0 0 0",1
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/examples/bottom-bar.js",25,2,0,2,0,2,1,1,1,11,3,0,0,0,0,1,0,0,"1 7 2 1 0 0 0 0 0 0 0",3,"2 0 0 0 0 0 0 0 0 0 0",0
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/examples/checkbox.js",50,2,0,2,0,1,1,2,1.5,4,1,0,0,0,0,0,0,0,"0 2 1 1 0 0 0 0 0 0 0",3,"0 2 0 0 0 0 0 0 0 0 0",1
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/examples/expand.js",40,1,0,1,0,1,1,1,1,4,1,0,0,0,0,0,0,0,"0 2 1 1 0 0 0 0 0 0 0",3,"0 1 0 0 0 0 0 0 0 0 0",1
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/examples/input.js",38,3,0,3,0,1,1,2,1.3333333333333333,5,1,0,0,0,0,0,0,0,"0 3 1 1 0 0 0 0 0 0 0",3,"1 2 0 0 0 0 0 0 0 0 0",1
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/examples/list.js",31,2,0,2,0,1,1,1,1,5,1,0,0,0,0,0,0,0,"1 2 1 1 0 0 0 0 0 0 0",3,"0 2 0 0 0 0 0 0 0 0 0",1
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/examples/long-list.js",31,2,0,2,0,2,1,1,1,8,1,0,0,0,0,0,0,0,"0 5 2 1 0 0 0 0 0 0 0",3,"0 1 1 0 0 0 0 0 0 0 0",2
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/examples/nested-call.js",21,1,0,1,0,1,1,1,1,3,1,0,0,0,0,0,0,0,"0 2 1 0 0 0 0 0 0 0 0",2,"0 1 0 0 0 0 0 0 0 0 0",1
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/examples/password.js",17,1,0,1,0,1,1,1,1,4,1,0,0,0,0,0,0,0,"0 2 1 1 0 0 0 0 0 0 0",3,"0 1 0 0 0 0 0 0 0 0 0",1
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/examples/pizza.js",97,5,0,5,0,1,1,2,1.4,10,1,0,0,0,0,0,0,0,"1 7 1 1 0 0 0 0 0 0 0",3,"0 5 0 0 0 0 0 0 0 0 0",1
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/examples/rawlist.js",31,2,0,2,0,1,1,1,1,5,1,0,0,0,0,0,0,0,"1 2 1 1 0 0 0 0 0 0 0",3,"0 2 0 0 0 0 0 0 0 0 0",1
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/examples/recursive.js",36,2,1,1,0,1,1,2,1.5,7,1,0,0,0,0,0,0,0,"2 3 2 0 0 0 0 0 0 0 0",2,"1 1 0 0 0 0 0 0 0 0 0",1
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/lib/inquirer.js",80,6,0,6,0,0,1,1,1,22,10,0,0,0,0,0,0,0,"3 10 9 0 0 0 0 0 0 0 0",2,"3 0 3 0 0 0 0 0 0 0 0",2
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/lib/objects/choice.js",45,1,1,0,0,0,7,7,7,6,1,0,0,0,0,0,0,0,"0 5 0 1 0 0 0 0 0 0 0",3,"0 0 1 0 0 0 0 0 0 0 0",2
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/lib/objects/choices.js",178,19,1,18,0,3,1,3,1.3157894736842106,29,4,0,0,0,0,0,0,0,"0 15 12 2 0 0 0 0 0 0 0",3,"7 11 1 0 0 0 0 0 0 0 0",2
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/lib/objects/separator.js",48,3,1,2,0,0,1,2,1.3333333333333333,4,2,0,0,0,0,0,0,0,"0 4 0 0 0 0 0 0 0 0 0",1,"1 2 0 0 0 0 0 0 0 0 0",1
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/lib/prompts/base.js",232,22,1,21,0,6,1,4,1.4545454545454546,53,9,0,0,0,0,0,0,0,"7 33 8 5 0 0 0 0 0 0 0",3,"3 16 2 1 0 0 0 0 0 0 0",3
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/lib/prompts/checkbox.js",257,20,2,18,0,1,1,14,2.25,89,6,0,0,0,0,0,0,0,"25 55 9 0 0 0 0 0 0 0 0",2,"9 9 2 0 0 0 0 0 0 0 0",2
"Inquirer.js","/Users/keheliya/dev/top_npm/Inquirer.js/lib/prompts/confirm.js",106,6,1,5,0,0,1,3,1.6666666666666667,31,6,0,0,0,0,0,0,0,"5 22 4 0 0 0 0 0 0 0 0",2,"3 3 0 0 0 0 0 0 0 0 0",1
