Chart.js,231,1500,174
Leaflet,931,8036,640
arbor,116,1444,83
cesium,18604,125801,11846
chartist-js,72,1022,37
d3,5683,20289,214
dc.js,2357,20151,1815
echarts,2139,28910,898
envisionjs,1245,28696,647
kartograph.js,153,1349,12
modestmaps-js,222,4117,108
peity,28,284,19
raw,157,2300,103
recline,1101,19853,521
sigma.js,263,4624,78
vega,307,3847,41
Babylon.js,2456,39529,309
Crafty,424,3908,286
PhysicsJS,826,9678,309
cocos2d-html5,413,22215,39
cutjs,676,9637,160
engine,1083,9759,604
kiwi.js,362,5883,17
lycheeJS,641,6970,77
melonJS,504,8112,248
phaser,2227,83298,224
pixi.js,338,4557,182
angular.js,8962,59039,7261
backbone,990,6251,676
brick,193,2134,84
ember.js,1516,9398,614
knockout,1666,11695,1110
polymer,1244,2945,404
spine,939,6285,461
2048,13,187,5
BrowserQuest,816,7090,307
adarkroom,113,3808,20
clumsy-bird,98,2178,23
hextris,21,587,1
untrusted,3132,15518,692
