"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs"
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/Gruntfile.js",342,0,0,4,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/angularFiles.js",237,2,0,3,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/event-delegation-bp/app.js",58,5,0,12,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/event-delegation-bp/bp.conf.js",11,0,0,1,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/largetable-bp/app.js",183,7,2,14,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/largetable-bp/bp.conf.js",16,0,0,1,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/largetable-bp/jquery-noop.js",2,0,0,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/orderby-bp/app.js",49,2,1,6,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/orderby-bp/bp.conf.js",15,0,0,1,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/parsed-expressions-bp/app.js",88,6,1,14,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/benchmarks/parsed-expressions-bp/bp.conf.js",12,0,0,1,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/changelog.js",210,0,0,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/changelog.spec.js",48,5,0,5,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/compare-master-to-stable.js",169,0,0,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/assets/js/angular-bootstrap/bootstrap.js",443,17,2,53,2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/assets/js/angular-bootstrap/dropdown-toggle.js",145,8,0,19,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/assets/js/search-worker.js",44,3,0,5,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/e2e/api-docs/api-pages.scenario.js",51,7,0,7,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/e2e/api-docs/provider-pages.scenario.js",12,2,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/e2e/api-docs/service-pages.scenario.js",22,3,0,3,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/e2e/app.scenario.js",86,12,0,12,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/src/app.js",23,0,0,1,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/src/directives.js",38,2,0,7,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/src/docs.js",67,4,0,6,2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/src/errors.js",63,2,0,8,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/src/examples.js",78,8,0,12,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/app/src/search.js",219,21,3,32,0
