"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs","calls","requires","defines","fsSyncs","fsAsyncs","setTimeouts","setIntervals","setImmediates","nextTicks","argscount","argsmax","paramscount","paramsmax"
"2048","/Users/keheliya/dev/top_games/2048/js/animframe_polyfill.js",29,4,0,4,0,6,0,0,0,0,0,0,0,0,"2 2 2 0 0 0 0 0 0 0 0",2,"2 2 0 0 0 0 0 0 0 0 0",1
"2048","/Users/keheliya/dev/top_games/2048/js/application.js",5,1,0,1,0,1,0,0,0,0,0,0,0,0,"0 1 0 0 0 0 0 0 0 0 0",1,"1 0 0 0 0 0 0 0 0 0 0",0
"2048","/Users/keheliya/dev/top_games/2048/js/bind_polyfill.js",10,2,0,2,0,1,0,0,0,0,0,0,0,0,"0 0 1 0 0 0 0 0 0 0 0",2,"0 2 0 0 0 0 0 0 0 0 0",1
"2048","/Users/keheliya/dev/top_games/2048/js/classlist_polyfill.js",72,10,2,8,0,19,0,0,0,0,0,0,0,0,"3 8 5 3 0 0 0 0 0 0 0",3,"3 6 0 1 0 0 0 0 0 0 0",3
"2048","/Users/keheliya/dev/top_games/2048/js/game_manager.js",273,21,1,20,0,59,0,0,0,0,0,0,0,0,"28 24 7 0 0 0 0 0 0 0 0",2,"11 5 3 1 1 0 0 0 0 0 0",4
"2048","/Users/keheliya/dev/top_games/2048/js/grid.js",118,15,1,14,0,16,0,0,0,0,0,0,0,0,"5 10 0 1 0 0 0 0 0 0 0",3,"5 8 1 1 0 0 0 0 0 0 0",3
"2048","/Users/keheliya/dev/top_games/2048/js/html_actuator.js",140,17,1,16,0,43,0,0,0,0,0,0,0,0,"1 37 5 0 0 0 0 0 0 0 0",2,"5 10 2 0 0 0 0 0 0 0 0",2
"2048","/Users/keheliya/dev/top_games/2048/js/keyboard_input_manager.js",145,12,1,11,0,30,0,0,0,0,0,0,0,0,"6 11 13 0 0 0 0 0 0 0 0",2,"2 7 3 0 0 0 0 0 0 0 0",2
"2048","/Users/keheliya/dev/top_games/2048/js/local_storage_manager.js",64,11,1,10,0,12,0,0,0,0,0,0,0,0,"1 8 3 0 0 0 0 0 0 0 0",2,"6 4 1 0 0 0 0 0 0 0 0",2
"2048","/Users/keheliya/dev/top_games/2048/js/tile.js",28,4,1,3,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"2 1 1 0 0 0 0 0 0 0 0",2
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/bin/r.js",8624,576,206,370,2,1920,18,28,22,0,2,1,0,0,"277 1003 506 102 23 8 1 0 0 0 0",6,"118 236 125 69 21 5 0 1 1 0 0",8
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/animation.js",69,8,0,8,0,7,0,1,0,0,0,0,0,0,"3 3 1 0 0 0 0 0 0 0 0",2,"3 3 1 0 0 1 0 0 0 0 0",5
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/app.js",534,55,0,55,0,269,0,1,0,0,7,3,0,0,"48 186 29 6 0 0 0 0 0 0 0",3,"35 11 8 1 0 0 0 0 0 0 0",3
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/area.js",25,3,0,3,0,2,0,1,0,0,0,0,0,0,"0 2 0 0 0 0 0 0 0 0 0",1,"1 1 0 0 1 0 0 0 0 0 0",4
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/audio.js",251,34,0,34,0,60,0,1,0,0,0,2,0,0,"16 27 11 4 2 0 0 0 0 0 0",4,"11 18 3 0 1 1 0 0 0 0 0",5
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/bubble.js",103,17,0,17,0,25,0,1,0,0,0,0,0,0,"4 15 6 0 0 0 0 0 0 0 0",2,"2 12 1 2 0 0 0 0 0 0 0",3
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/build.js",35,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/camera.js",84,10,0,10,0,18,0,1,0,0,0,0,0,0,"1 13 4 0 0 0 0 0 0 0 0",2,"2 4 4 0 0 0 0 0 0 0 0",2
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/character.js",552,61,0,61,0,81,0,1,0,0,1,0,0,0,"30 34 15 1 1 0 0 0 0 0 0",4,"22 31 5 2 1 0 0 0 0 0 0",4
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/chest.js",29,6,0,6,0,4,0,1,0,0,0,0,0,0,"1 1 2 0 0 0 0 0 0 0 0",2,"3 2 1 0 0 0 0 0 0 0 0",2
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/config.js",20,2,0,2,0,4,1,1,0,0,0,0,0,0,"0 2 2 0 0 0 0 0 0 0 0",2,"0 2 0 0 0 0 0 0 0 0 0",1
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/detect.js",40,8,0,8,0,10,0,0,0,0,0,0,0,0,"0 10 0 0 0 0 0 0 0 0 0",1,"6 2 0 0 0 0 0 0 0 0 0",1
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/entity.js",260,32,0,32,0,42,0,1,0,0,0,1,0,0,"8 24 6 4 0 0 0 0 0 0 0",3,"11 16 4 0 1 0 0 0 0 0 0",4
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/entityfactory.js",213,48,0,48,0,5,0,1,0,0,0,0,0,0,"0 2 3 0 0 0 0 0 0 0 0",2,"0 45 1 1 0 1 0 0 0 0 0",5
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/exceptions.js",14,2,0,2,0,2,0,1,0,0,0,0,0,0,"0 2 0 0 0 0 0 0 0 0 0",1,"1 1 0 0 0 0 0 0 0 0 0",1
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/game.js",2455,220,0,220,0,668,0,1,0,0,4,1,0,0,"159 355 115 26 11 2 0 0 0 0 0",5,"66 93 40 14 3 3 0 0 0 0 0            1",22
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/gameclient.js",544,70,0,70,0,80,0,1,0,0,0,0,0,0,"5 52 16 5 0 2 0 0 0 0 0",5,"4 61 3 2 0 0 0 0 0 0 0",3
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/home.js",4,1,0,1,0,2,1,1,0,0,0,0,0,0,"0 1 1 0 0 0 0 0 0 0 0",2,"1 0 0 0 0 0 0 0 0 0 0",0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/infomanager.js",110,15,0,15,0,15,0,1,0,0,0,0,0,0,"2 11 2 0 0 0 0 0 0 0 0",2,"3 9 1 0 1 0 1 0 0 0 0",6
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/item.js",36,6,0,6,0,6,0,1,0,0,0,0,0,0,"0 4 2 0 0 0 0 0 0 0 0",2,"3 2 0 1 0 0 0 0 0 0 0",3
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/items.js",118,17,0,17,0,32,0,1,0,0,0,0,0,0,"1 15 1 15 0 0 0 0 0 0 0",3,"0 17 0 0 0 0 0 0 0 0 0",1
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/lib/astar.js",151,10,8,2,0,14,0,1,0,0,0,0,0,0,"2 6 2 0 2 0 1 0 0 0 0   1",13,"2 0 0 0 4 0 1 0 0 0 0   3",13
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/lib/bison.js",253,4,3,1,0,28,0,0,0,0,0,0,0,0,"2 20 6 0 0 0 0 0 0 0 0",2,"0 3 1 0 0 0 0 0 0 0 0",2
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/lib/class.js",69,6,0,6,0,5,0,0,0,0,0,0,0,0,"0 2 3 0 0 0 0 0 0 0 0",2,"4 1 1 0 0 0 0 0 0 0 0",2
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/lib/css3-mediaqueries.js",780,95,1,94,1,211,0,0,0,0,8,1,0,0,"47 106 53 5 0 0 0 0 0 0 0",3,"52 32 10 1 0 0 0 0 0 0 0",3
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/lib/log.js",39,7,0,7,0,7,0,0,0,0,0,0,0,0,"1 6 0 0 0 0 0 0 0 0 0",1,"3 3 1 0 0 0 0 0 0 0 0",2
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/lib/require-jquery.js",11066,574,64,510,2,1824,0,2,0,0,9,2,0,0,"233 858 510 152 59 6 6 0 0 0 0",6,"131 201 141 68 25 2 6 0 0 0 0",6
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/lib/stacktrace.js",357,25,1,24,0,54,0,0,0,0,0,0,0,0,"7 26 19 2 0 0 0 0 0 0 0",3,"9 12 3 1 0 0 0 0 0 0 0",3
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/main.js",410,49,0,49,0,258,1,1,0,0,0,0,0,0,"55 180 21 1 0 1 0 0 0 0 0",5,"28 18 2 1 0 0 0 0 0 0 0",3
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/map.js",310,33,0,33,0,48,0,1,0,0,0,0,0,0,"7 26 14 1 0 0 0 0 0 0 0",3,"5 19 9 0 0 0 0 0 0 0 0",2
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/mapworker.js",69,7,3,4,0,11,0,0,0,0,0,0,0,0,"2 4 5 0 0 0 0 0 0 0 0",2,"2 4 1 0 0 0 0 0 0 0 0",2
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/mob.js",14,2,0,2,0,3,0,1,0,0,0,0,0,0,"0 1 2 0 0 0 0 0 0 0 0",2,"0 1 1 0 0 0 0 0 0 0 0",2
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/mobs.js",161,16,0,16,0,38,0,1,0,0,0,0,0,0,"2 22 14 0 0 0 0 0 0 0 0",2,"0 15 1 0 0 0 0 0 0 0 0",2
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/npc.js",188,3,0,3,0,4,0,1,0,0,0,0,0,0,"0 2 1 1 0 0 0 0 0 0 0",3,"1 1 1 0 0 0 0 0 0 0 0",2
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/npcs.js",107,17,0,17,0,33,0,1,0,0,0,0,0,0,"0 16 1 16 0 0 0 0 0 0 0",3,"0 17 0 0 0 0 0 0 0 0 0",1
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/pathfinder.js",101,9,0,9,0,13,0,1,0,0,0,0,0,0,"3 4 3 3 0 0 0 0 0 0 0",3,"2 4 2 0 0 1 0 0 0 0 0",5
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/player.js",218,23,0,23,0,41,0,1,0,0,1,2,0,0,"13 23 5 0 0 0 0 0 0 0 0",2,"13 8 1 1 0 0 0 0 0 0 0",3
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/renderer.js",784,59,0,59,0,172,0,1,0,0,0,0,0,0,"62 52 20 8 13 1 5 0 1 10 0",9,"25 19 6 3 1 2 2 0 1 0 0",8
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/sprite.js",169,13,0,13,0,28,0,1,0,0,0,0,0,0,"2 14 5 2 3 2 0 0 0 0 0",5,"6 4 2 1 0 0 0 0 0 0 0",3
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/sprites.js",83,2,0,2,0,3,0,1,0,0,0,0,0,0,"0 1 2 0 0 0 0 0 0 0 0",2,"1 1 0 0 0 0 0 0 0 0 0",1
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/storage.js",169,26,0,26,0,27,0,1,0,0,0,0,0,0,"15 11 1 0 0 0 0 0 0 0 0",2,"17 8 0 1 0 0 0 0 0 0 0",3
