method, count
forEachSeries, 3
reduce, 7
forEach, 8
map, 10
nextTick, 18
iterator, 5
mapSeries, 6
whilst, 4
until, 3
concatSeries, 3
eachSeries, 7
each, 14
setImmediate, 14
series, 14
doWhilst, 3
doUntil, 3
queue, 16
forever, 1
applyEach, 2
applyEachSeries, 1
compose, 3
seq, 3
auto, 11
retry, 3
waterfall, 11
parallel, 11
parallelLimit, 5
eachLimit, 8
mapLimit, 6
reduceRight, 1
filter, 2
filterSeries, 1
reject, 2
rejectSeries, 2
some, 3
every, 3
detect, 2
detectSeries, 2
sortBy, 2
apply, 10
name, 5
times, 4
timesSeries, 2
concat, 2
priorityQueue, 2
cargo, 5
memoize, 7
unmemoize, 2
invokeLater, 28
invoke, 91
haveItemsQueued, 5
forEachLimit, 1
