2048,11,14
BrowserQuest,393,538
adarkroom,75,79
clumsy-bird,89,104
hextris,15,18
untrusted,1949,2469
Chart.js,155,189
Leaflet,233,838
arbor,116,119
cesium,4344,15760
chartist-js,45,73
d3,5311,5457
dc.js,395,2032
echarts,945,1671
envisionjs,688,1051
kartograph.js,37,37
modestmaps-js,83,177
peity,22,29
raw,128,164
recline,616,853
sigma.js,161,216
vega,245,318
Babylon.js,1146,1209
Crafty,84,327
PhysicsJS,338,517
cocos2d-html5,301,309
cutjs,490,539
engine,311,839
kiwi.js,245,247
lycheeJS,615,650
melonJS,265,489
phaser,1856,1984
pixi.js,85,237
angular.js,1976,8367
backbone,315,787
brick,92,167
ember.js,805,1230
knockout,252,1208
polymer,832,1226
spine,156,534
KiwiIRC,1868,5848
NodeBB,11828,16762
browsenpm.org,148,218
david-www,908,2346
iloveopensource,1204,2659
keystone,9740,24661
mash.li,540,1319
mediacenterjs,1180,2145
newww,4536,8146
npm-www,2412,4833
open-marriage,228,626
pencilblue,3164,5069
shields,836,953
slate,88,242
strider,30988,50357
