"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs"
"2048","/Users/keheliya/dev/top_games/2048/js/animframe_polyfill.js",29,2,0,4,0
"2048","/Users/keheliya/dev/top_games/2048/js/application.js",5,1,0,1,0
"2048","/Users/keheliya/dev/top_games/2048/js/bind_polyfill.js",10,0,0,2,0
"2048","/Users/keheliya/dev/top_games/2048/js/classlist_polyfill.js",72,2,2,8,0
"2048","/Users/keheliya/dev/top_games/2048/js/game_manager.js",273,3,1,20,0
"2048","/Users/keheliya/dev/top_games/2048/js/grid.js",118,1,1,14,0
"2048","/Users/keheliya/dev/top_games/2048/js/html_actuator.js",140,5,1,16,0
"2048","/Users/keheliya/dev/top_games/2048/js/keyboard_input_manager.js",145,5,1,11,0
"2048","/Users/keheliya/dev/top_games/2048/js/local_storage_manager.js",64,0,1,10,0
"2048","/Users/keheliya/dev/top_games/2048/js/tile.js",28,0,1,3,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/animation.js",69,1,0,8,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/app.js",534,17,0,55,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/area.js",25,1,0,3,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/audio.js",251,14,0,34,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/bubble.js",103,6,0,17,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/build.js",35,0,0,0,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/camera.js",84,1,0,10,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/character.js",552,3,0,61,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/chest.js",29,1,0,6,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/config.js",20,2,0,2,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/detect.js",40,0,0,8,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/entity.js",260,2,0,32,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/entityfactory.js",213,1,0,48,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/exceptions.js",14,1,0,2,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/game.js",2455,91,0,220,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/gameclient.js",544,2,0,70,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/home.js",4,1,0,1,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/infomanager.js",110,5,0,15,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/item.js",36,1,0,6,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/items.js",118,1,0,17,0
"BrowserQuest","/Users/keheliya/dev/top_games/BrowserQuest/client/js/lib/astar.js",151,2,8,2,0
