"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs","anonCBs","minComplexity","maxComplexity","meanComplexity","calls","requires","defines","fsSyncs","fsAsyncs","setTimeouts","setIntervals","setImmediates","nextTicks","argscount","argsmax","paramscount","paramsmax"
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/assets/libs/ace/theme-textmate.js",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/assets/libs/engine.io.js",3129,195,34,161,3,52,1,22,2.6,497,48,1,0,0,7,1,0,0,"80 254 144 17 2 0 0 0 0 0 0",4,"84 72 18 20 1 0 0 0 0 0 0",4
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/assets/libs/engine.io.tools.js",290,21,6,15,3,1,1,7,1.9545454545454546,33,0,0,0,0,1,0,0,0,"7 12 13 1 0 0 0 0 0 0 0",3,"13 7 1 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/assets/libs/jed.js",1006,68,7,61,11,2,1,33,3.6029411764705883,206,0,1,0,0,0,0,0,0,"18 134 35 2 8 2 6 0 1 0 0",8,"18 26 13 4 4 2 0 1 0 0 0",7
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/assets/libs/soundmanager2/soundmanager2-nodebug.js",2563,180,15,165,0,23,1,37,4.175531914893617,562,0,0,0,0,6,1,0,0,"154 275 105 21 3 2 0 1 0 0 0    1",14,"88 52 31 6 2 1 0 0 0 0 0",5
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/assets/libs/soundmanager2/soundmanager2.js",5718,186,15,171,1,24,1,37,4.622448979591836,804,0,0,0,0,7,1,0,0,"166 442 165 24 3 2 0 1 0 0 0    1",14,"91 53 32 7 2 1 0 0 0 0 0",5
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/build.js",227,14,1,13,0,13,1,4,2.0714285714285716,64,6,0,3,8,0,0,0,0,"12 24 18 5 5 0 0 0 0 0 0",4,"0 7 7 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/app.js",337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/applets/chanlist.js",204,18,0,18,0,5,1,9,2.1666666666666665,87,0,0,0,0,0,0,0,0,"24 51 10 2 0 0 0 0 0 0 0",3,"6 9 3 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/applets/scripteditor.js",97,9,0,9,0,3,1,3,1.4,47,0,0,0,0,0,0,0,0,"17 21 9 0 0 0 0 0 0 0 0",2,"6 3 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/applets/settings.js",141,10,0,10,0,2,1,6,2.1,89,0,0,0,0,0,0,0,0,"29 39 16 5 0 0 0 0 0 0 0",3,"3 6 1 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/applets/startup.js",55,6,0,6,0,1,1,2,1.3333333333333333,20,0,0,0,0,0,0,0,0,"9 9 1 1 0 0 0 0 0 0 0",3,"4 2 0 0 0 0 0 0 0 0 0",1
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/helpers/utils.js",504,21,11,10,0,2,1,37,6.761904761904762,104,0,0,0,0,0,0,0,0,"15 54 32 3 0 0 0 0 0 0 0",3,"3 12 4 2 0 0 0 0 0 0 0",3
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/models/applet.js",144,12,0,12,0,3,1,7,2.3333333333333335,37,0,0,0,0,0,0,0,0,"12 17 7 1 0 0 0 0 0 0 0",3,"3 4 5 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/models/application.js",815,70,23,47,2,26,1,10,2.1285714285714286,283,0,0,0,0,2,0,0,0,"97 111 64 10 1 0 0 0 0 0 0",4,"13 52 5 0 0 0 0 0 0 0 0",2
"KiwiIRC","/Users/keheliya/dev/top_hybrid/KiwiIRC/client/src/models/channel.js",119,7,0,7,0,2,1,11,3.7142857142857144,41,0,0,0,0,0,0,0,0,"1 22 10 3 5 0 0 0 0 0 0",4,"2 2 0 2 1 0 0 0 0 0 0",4
