Inquirer.js,275,1707
UglifyJS2,736,3194
async,630,2210
aws-sdk-js,892,12613
backbone,1015,6248
bluebird,6795,27874
body-parser,278,1372
chalk,44,103
cheerio,870,6386
clean-css,392,1819
cli-color,26,305
coffeescript,506,4413
colors.js,86,263
commander.js,30,432
concat-stream,66,230
connect,138,423
debug,15,166
ejs,93,486
escodegen,1540,18224
express,2047,7102
generator,1101,3306
grunt,226,2038
gulp-util,115,493
gulp,137,435
hiredis-node,61,163
iconv-lite,365,1380
inherits,3,18
jade,582,4107
jquery,3917,18418
js-yaml,519,5730
jsdom,12890,42676
less.js,410,4831
lodash,9640,24544
log4js-node,743,2583
marked,7,346
minimatch,24,237
minimist,47,403
mocha,1142,3932
moment,365,55326
mustache.js,96,256
nconf,255,887
ncp,114,217
node-browserify,631,2536
node-extend,30,191
node-fs-extra,593,1340
node-glob,219,721
node-graceful-fs,47,171
node-http-proxy,373,1276
node-mime,12,106
node-mkdirp,82,415
node-mysql,1410,3646
node-oauth,271,638
node-open,15,32
node-optimist,88,558
node-semver,48,476
node-uuid,26,198
node-xml2js,5,108
node_redis,772,2403
nomnom,19,381
nopt,14,175
npm,2417,8673
promise,107,330
prompt,172,484
q,558,3115
qs,72,615
r.js,4451,21271
react,765,6666
readable-stream,912,2768
request,655,2566
rimraf,41,88
shelljs,850,2490
should.js,530,1750
socket.io-client,213,1663
socket.io,351,1482
stylus,224,2490
superagent,501,2318
through,80,188
through2,89,264
underscore.string,618,5653
validator.js,86,351
winston,450,1481
wrench-js,132,430
ws,1053,2686
xtend,23,37
yargs,214,1471
yosay,16,74
