Chart.js,0,0,194
Leaflet,10,4,719
arbor,3,2,110
cesium,144,167,12914
chartist-js,0,0,88
d3,10,6,529
dc.js,3,1,2652
echarts,3,10,1294
envisionjs,1,9,1597
kartograph.js,0,0,19
modestmaps-js,2,0,139
peity,3,2,29
raw,2,2,353
recline,13,17,1058
sigma.js,3,3,132
vega,23,26,264
Babylon.js,11,16,1092
Crafty,4,4,332
PhysicsJS,3,3,394
cocos2d-html5,29,32,190
cutjs,0,2,339
engine,26,18,768
kiwi.js,0,0,149
lycheeJS,25,1,411
melonJS,0,0,365
phaser,1,0,608
pixi.js,0,0,197
angular.js,38,102,7797
backbone,8,14,785
brick,2,3,128
ember.js,9,24,822
knockout,8,9,1332
polymer,0,0,646
spine,2,5,599
2048,0,0,17
BrowserQuest,9,17,595
adarkroom,4,0,61
clumsy-bird,1,0,64
hextris,0,0,25
untrusted,9,9,804
