2048,11,14
BrowserQuest,393,538
adarkroom,75,79
clumsy-bird,89,104
hextris,15,18
untrusted,1949,2469
Chart.js,155,189
Leaflet,233,838
arbor,116,119
cesium,4344,15760
chartist-js,45,73
d3,5311,5457
dc.js,395,2032
echarts,945,1671
envisionjs,688,1051
kartograph.js,37,37
modestmaps-js,83,177
peity,22,29
raw,128,164
recline,616,853
sigma.js,161,216
vega,245,318
Babylon.js,1146,1209
Crafty,84,327
PhysicsJS,338,517
cocos2d-html5,301,309
cutjs,490,539
engine,311,839
kiwi.js,245,247
lycheeJS,615,650
melonJS,265,489
phaser,1856,1984
pixi.js,85,237
angular.js,1976,8367
backbone,315,787
brick,92,167
ember.js,805,1230
knockout,252,1208
polymer,832,1226
spine,156,534
Inquirer.js,110,275
UglifyJS2,150,736
async,337,630
aws-sdk-js,570,892
backbone,314,1015
bluebird,3131,6795
body-parser,28,278
chalk,18,44
cheerio,121,870
clean-css,360,392
cli-color,10,26
coffeescript,162,506
colors.js,70,86
commander.js,27,30
concat-stream,30,66
connect,76,138
debug,10,15
ejs,31,93
escodegen,628,1540
express,841,2047
generator,520,1101
grunt,206,226
gulp-util,39,115
gulp,84,137
hiredis-node,39,61
iconv-lite,254,365
inherits,1,3
jade,375,582
jquery,521,3917
js-yaml,251,519
jsdom,1029,12890
less.js,293,410
lodash,941,9640
log4js-node,707,743
marked,4,7
minimatch,8,24
minimist,1,47
mocha,530,1142
moment,100,365
mustache.js,35,96
nconf,231,255
ncp,58,114
node-browserify,447,631
node-extend,0,30
node-fs-extra,401,593
node-glob,125,219
node-graceful-fs,35,47
node-http-proxy,272,373
node-mime,11,12
node-mkdirp,36,82
node-mysql,1371,1410
node-oauth,268,271
node-open,3,15
node-optimist,18,88
node-semver,16,48
node-uuid,17,26
node-xml2js,2,5
node_redis,740,772
nomnom,14,19
nopt,7,14
npm,1265,2417
promise,25,107
prompt,159,172
q,148,558
qs,2,72
r.js,1062,4451
react,170,765
readable-stream,720,912
request,338,655
rimraf,11,41
shelljs,814,850
should.js,247,530
socket.io-client,114,213
socket.io,255,351
stylus,182,224
superagent,202,501
through,62,80
through2,53,89
underscore.string,213,618
validator.js,20,86
winston,425,450
wrench-js,123,132
ws,786,1053
xtend,16,23
yargs,29,214
yosay,8,16
KiwiIRC,1868,5848
NodeBB,11828,16762
browsenpm.org,148,218
david-www,908,2346
iloveopensource,1204,2659
keystone,9740,24661
mash.li,540,1319
mediacenterjs,1180,2145
newww,4536,8146
npm-www,2412,4833
open-marriage,228,626
pencilblue,3164,5069
shields,836,953
slate,88,242
strider,30988,50357
