"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs"
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/Chart.js",3380,96,1,296,0
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/gulpfile.js",132,12,1,12,0
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/src/Chart.Bar.js",294,14,0,30,0
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/src/Chart.Core.js",1944,26,1,163,0
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/src/Chart.Doughnut.js",184,10,0,20,0
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/src/Chart.Line.js",366,19,0,35,0
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/src/Chart.PolarArea.js",248,10,0,20,0
"Chart.js","/Users/keheliya/dev/top_dataviz/Chart.js/src/Chart.Radar.js",343,17,0,28,0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/Jakefile.js",59,7,1,8,0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/build/build.js",190,3,8,5,0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/build/deps.js",256,0,0,0,0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/build/hintrc.js",41,0,0,0,0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/debug/leaflet-include.js",60,1,5,1,0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/debug/vector/geojson-sample.js",54,0,0,0,0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/spec/after.js",3,0,0,0,0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/spec/expect.js",1254,46,22,69,1
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/spec/karma.conf.js",71,0,0,1,0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/spec/sinon.js",4224,58,68,286,121
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/spec/spec.hintrc.js",26,0,0,0,0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/spec/suites/SpecHelper.js",43,0,0,3,0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/spec/suites/control/Control.AttributionSpec.js",69,14,0,14,0
"Leaflet","/Users/keheliya/dev/top_dataviz/Leaflet/spec/suites/control/Control.LayersSpec.js",68,10,0,10,0
